n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
9000,1.530000,2.243000,0.642000,0.326000,0.221000,0.255000,0.152000,0.172000,0.659000,0.362000,0.224000,0.178000,0.161000,0.183000
9500,1.763000,2.585000,0.651000,0.371000,0.232000,0.198000,0.155000,0.235000,0.729000,0.401000,0.267000,0.208000,0.180000,0.218000
1000,0.019000,0.020000,0.017000,0.014000,0.009000,0.010000,0.010000,0.009000,0.017000,0.014000,0.016000,0.012000,0.008000,0.012000
10000,1.898000,2.881000,0.721000,0.397000,0.266000,0.190000,0.186000,0.201000,0.809000,0.507000,0.294000,0.248000,0.196000,0.217000
1500,0.043000,0.042000,0.031000,0.020000,0.025000,0.026000,0.016000,0.015000,0.032000,0.020000,0.043000,0.026000,0.013000,0.036000
2000,0.075000,0.083000,0.041000,0.032000,0.019000,0.022000,0.023000,0.016000,0.042000,0.037000,0.025000,0.030000,0.023000,0.019000
2500,0.117000,0.123000,0.061000,0.041000,0.035000,0.028000,0.030000,0.033000,0.082000,0.040000,0.078000,0.057000,0.025000,0.034000
3000,0.168000,0.180000,0.091000,0.061000,0.092000,0.036000,0.034000,0.044000,0.078000,0.046000,0.040000,0.033000,0.032000,0.049000
3500,0.229000,0.257000,0.096000,0.060000,0.064000,0.077000,0.044000,0.063000,0.107000,0.061000,0.056000,0.088000,0.041000,0.045000
4000,0.301000,0.341000,0.137000,0.147000,0.125000,0.051000,0.053000,0.080000,0.134000,0.076000,0.123000,0.074000,0.053000,0.058000
4500,0.379000,0.442000,0.152000,0.093000,0.131000,0.062000,0.057000,0.063000,0.165000,0.181000,0.061000,0.099000,0.097000,0.083000
500,0.005000,0.005000,0.006000,0.006000,0.004000,0.005000,0.004000,0.006000,0.005000,0.005000,0.004000,0.004000,0.004000,0.005000
5000,0.468000,0.589000,0.188000,0.108000,0.088000,0.076000,0.075000,0.064000,0.201000,0.201000,0.130000,0.078000,0.121000,0.069000
5500,0.575000,0.714000,0.220000,0.151000,0.084000,0.131000,0.115000,0.083000,0.272000,0.138000,0.133000,0.076000,0.101000,0.090000
6000,0.682000,0.890000,0.282000,0.165000,0.124000,0.135000,0.078000,0.160000,0.299000,0.245000,0.096000,0.104000,0.095000,0.126000
6500,0.832000,1.040000,0.332000,0.191000,0.121000,0.140000,0.111000,0.107000,0.348000,0.198000,0.120000,0.113000,0.112000,0.144000
7000,0.930000,1.259000,0.378000,0.213000,0.158000,0.101000,0.101000,0.181000,0.455000,0.225000,0.171000,0.120000,0.127000,0.128000
7500,1.066000,1.553000,0.430000,0.247000,0.177000,0.142000,0.113000,0.153000,0.464000,0.255000,0.207000,0.145000,0.158000,0.147000
8000,1.221000,1.713000,0.495000,0.284000,0.198000,0.127000,0.134000,0.266000,0.522000,0.284000,0.167000,0.155000,0.184000,0.173000
8500,1.366000,2.005000,0.534000,0.322000,0.195000,0.161000,0.153000,0.250000,0.585000,0.330000,0.199000,0.169000,0.139000,0.187000
9000,1.531000,2.280000,0.577000,0.326000,0.210000,0.184000,0.172000,0.217000,0.713000,0.362000,0.240000,0.169000,0.181000,0.160000
9500,1.707000,2.553000,0.688000,0.379000,0.229000,0.194000,0.166000,0.207000,0.723000,0.398000,0.248000,0.201000,0.194000,0.213000
1000,0.019000,0.020000,0.028000,0.025000,0.011000,0.008000,0.010000,0.010000,0.016000,0.029000,0.018000,0.013000,0.010000,0.011000
10000,1.901000,2.948000,0.731000,0.411000,0.263000,0.199000,0.193000,0.258000,0.815000,0.472000,0.255000,0.226000,0.205000,0.184000
1500,0.042000,0.042000,0.031000,0.019000,0.019000,0.029000,0.016000,0.016000,0.029000,0.049000,0.017000,0.016000,0.014000,0.013000
